@relation estudiantes

@attribute Documento numeric
@attribute ID_Estudiante numeric
@attribute Edad numeric
@attribute Género {Masculino, Femenino, Otro}
@attribute Horas_Estudio_Semanal numeric
@attribute Asistencia numeric
@attribute Promedio_Parciales numeric
@attribute Participación_Clases {Baja, Media, Alta}
@attribute Uso_Plataforma_Virtual {Bajo, Medio, Alto}
@attribute Antecedentes_Pérdida {Sí, No}
@attribute Apoyo_Familiar {Bajo, Medio, Alto}
@attribute Carga_Académica numeric
@attribute Problemas_Personales {Ninguno, Leves, Graves}
@attribute Perderá_Asignatura {tested_positive, tested_negative}

@data
41651334,30,14,Femenino,8,80.55,2.76,Baja,Medio,No,Medio,2,Ninguno,tested_negative
35373365,31,10,Femenino,10,91.65,3.26,Alta,Medio,Sí,Alto,1,Leves,tested_negative
75235956,32,10,Femenino,12,84.63,3.62,Baja,Medio,No,Medio,3,Graves,tested_negative
37612862,33,17,Femenino,7,92.29,4.01,Baja,Alto,Sí,Medio,2,Leves,tested_negative
26040897,34,18,Femenino,11,82.02,3.57,Alta,Bajo,No,Medio,2,Ninguno,tested_negative
85222073,35,15,Masculino,15,86.01,3.15,Media,Medio,Sí,Medio,2,Graves,tested_negative
92434548,36,17,Femenino,18,93.79,3.82,Media,Medio,No,Medio,5,Ninguno,tested_negative
52431848,37,13,Otro,6,100.0,3.83,Alta,Medio,Sí,Bajo,1,Graves,tested_negative
16308857,38,14,Masculino,16,86.25,2.53,Media,Bajo,No,Alto,4,Graves,tested_negative
38379213,39,18,Femenino,7,72.56,3.16,Baja,Bajo,No,Medio,2,Ninguno,tested_negative
93499098,40,17,Masculino,5,81.44,3.36,Alta,Medio,Sí,Alto,5,Leves,tested_negative
23751519,41,13,Femenino,17,98.44,4.0,Alta,Bajo,Sí,Alto,4,Ninguno,tested_negative
89985253,42,10,Otro,19,68.66,3.29,Alta,Alto,No,Medio,4,Graves,tested_negative
18556605,43,12,Masculino,12,77.26,3.26,Baja,Bajo,No,Medio,3,Graves,tested_negative
47238083,44,15,Masculino,9,74.42,3.27,Media,Alto,Sí,Medio,1,Leves,tested_negative
56702588,45,11,Otro,15,91.96,3.16,Media,Bajo,No,Alto,4,Graves,tested_negative
93765595,46,13,Otro,4,96.97,3.42,Baja,Alto,Sí,Medio,1,Leves,tested_negative
49087977,47,15,Masculino,16,77.79,2.42,Media,Medio,Sí,Alto,5,Ninguno,tested_negative
19370143,48,17,Otro,14,93.3,3.1,Media,Alto,No,Medio,3,Graves,tested_negative
89327259,49,15,Femenino,8,92.8,4.05,Baja,Medio,Sí,Alto,5,Leves,tested_negative
71802136,50,10,Femenino,10,87.62,3.2,Baja,Bajo,Sí,Medio,1,Leves,tested_negative
89478378,51,13,Otro,3,73.35,3.28,Baja,Medio,Sí,Medio,2,Graves,tested_negative
48932433,52,10,Masculino,3,98.46,3.72,Baja,Medio,No,Bajo,5,Leves,tested_negative
52658261,53,16,Masculino,17,94.66,4.6,Media,Medio,Sí,Alto,5,Ninguno,tested_negative
18905876,54,18,Femenino,6,79.13,3.74,Media,Medio,No,Medio,5,Ninguno,tested_negative
26732986,55,11,Masculino,19,72.09,3.11,Media,Alto,Sí,Alto,3,Graves,tested_negative
87004096,56,14,Masculino,6,87.47,2.8,Media,Bajo,Sí,Medio,4,Ninguno,tested_positive
40010719,57,16,Masculino,5,92.25,3.34,Alta,Bajo,Sí,Medio,5,Leves,tested_negative
63322266,58,18,Otro,6,97.74,3.59,Baja,Medio,Sí,Medio,2,Ninguno,tested_negative
44255239,59,14,Femenino,10,96.84,4.17,Alta,Bajo,No,Alto,4,Graves,tested_negative
25458960,60,12,Masculino,12,88.6,3.43,Baja,Alto,No,Medio,1,Ninguno,tested_negative
67533398,61,10,Masculino,4,81.56,3.22,Media,Alto,No,Medio,5,Ninguno,tested_negative
52395683,62,11,Otro,5,91.24,3.62,Baja,Bajo,No,Medio,5,Ninguno,tested_negative
11343132,63,10,Masculino,9,100.0,3.91,Media,Alto,No,Medio,1,Graves,tested_negative
97714138,64,10,Femenino,16,79.16,2.94,Media,Alto,No,Bajo,1,Leves,tested_negative
19465744,65,13,Otro,5,81.43,4.19,Alta,Alto,No,Bajo,5,Leves,tested_negative
28293653,66,11,Femenino,8,69.85,3.37,Baja,Medio,No,Bajo,3,Ninguno,tested_negative
42783091,67,12,Otro,10,99.45,3.45,Baja,Bajo,Sí,Bajo,3,Graves,tested_negative
87709037,68,17,Otro,10,89.38,2.3,Alta,Bajo,No,Alto,3,Ninguno,tested_negative
13501502,69,10,Otro,4,74.69,2.81,Alta,Alto,No,Medio,1,Leves,tested_negative
80669327,70,10,Otro,8,89.27,2.96,Alta,Medio,Sí,Alto,5,Leves,tested_negative
68488392,71,16,Femenino,6,99.32,3.86,Media,Alto,No,Medio,2,Graves,tested_negative
17520921,72,15,Masculino,25,88.54,3.52,Alta,Alto,No,Medio,5,Graves,tested_negative
25046899,73,17,Otro,11,81.45,3.68,Baja,Medio,No,Bajo,1,Leves,tested_negative
71755808,74,10,Masculino,19,84.85,3.59,Media,Medio,No,Bajo,5,Ninguno,tested_negative
37972190,75,17,Femenino,5,82.01,2.84,Media,Medio,Sí,Bajo,1,Ninguno,tested_positive
47388563,76,14,Masculino,4,90.71,2.61,Baja,Bajo,Sí,Alto,1,Leves,tested_positive
84411157,77,15,Femenino,12,86.22,3.23,Baja,Bajo,Sí,Bajo,2,Graves,tested_negative
14961497,78,17,Femenino,6,93.0,3.13,Alta,Alto,No,Bajo,1,Leves,tested_negative
64670952,79,12,Femenino,17,70.74,2.76,Baja,Alto,Sí,Bajo,5,Graves,tested_positive
59872235,80,10,Femenino,14,88.64,3.5,Alta,Bajo,No,Bajo,1,Ninguno,tested_negative
39940988,81,18,Otro,10,100.0,3.48,Alta,Bajo,No,Bajo,4,Ninguno,tested_negative
28862261,82,12,Otro,14,100.0,3.75,Media,Bajo,Sí,Bajo,5,Graves,tested_negative
35508194,83,11,Masculino,14,91.34,3.55,Alta,Medio,Sí,Bajo,1,Ninguno,tested_negative
44694695,84,17,Masculino,16,92.18,4.15,Baja,Bajo,Sí,Alto,5,Graves,tested_negative
36276524,85,11,Otro,7,76.36,3.34,Alta,Bajo,No,Medio,5,Ninguno,tested_negative
69842166,86,15,Femenino,5,69.43,2.55,Media,Alto,No,Alto,3,Ninguno,tested_negative
29230662,87,14,Otro,10,72.96,2.84,Alta,Medio,No,Alto,3,Ninguno,tested_negative
38550139,88,13,Otro,22,76.64,3.43,Media,Alto,Sí,Bajo,4,Leves,tested_negative
58153524,89,17,Masculino,20,79.25,2.96,Media,Alto,Sí,Bajo,3,Ninguno,tested_negative
56833699,90,18,Femenino,15,89.5,3.24,Media,Medio,Sí,Medio,2,Ninguno,tested_negative
41747954,91,18,Otro,16,73.31,2.63,Baja,Medio,Sí,Alto,2,Graves,tested_positive
38079232,92,18,Femenino,7,97.88,3.15,Baja,Medio,No,Alto,5,Leves,tested_negative
93939460,93,12,Otro,17,85.74,3.24,Baja,Bajo,No,Alto,1,Ninguno,tested_negative
43219068,94,15,Otro,10,82.14,3.53,Media,Medio,Sí,Bajo,3,Leves,tested_negative
43251224,95,16,Femenino,4,86.54,2.77,Media,Medio,No,Alto,3,Leves,tested_negative
27299585,96,14,Femenino,6,87.12,2.88,Alta,Bajo,No,Medio,1,Leves,tested_negative
52552824,97,11,Femenino,4,80.09,3.66,Alta,Bajo,No,Bajo,3,Ninguno,tested_negative
51595221,98,16,Otro,15,82.31,3.91,Baja,Medio,No,Alto,4,Ninguno,tested_negative
31884482,99,14,Otro,4,83.97,2.86,Media,Bajo,No,Medio,3,Graves,tested_negative
99154777,100,14,Masculino,26,83.81,3.59,Alta,Medio,No,Medio,1,Graves,tested_negative
25859479,101,13,Femenino,11,64.41,2.49,Alta,Alto,No,Bajo,2,Ninguno,tested_negative
57552451,102,15,Masculino,11,100.0,3.67,Alta,Bajo,Sí,Medio,5,Graves,tested_negative
62153694,103,16,Femenino,9,72.92,3.15,Alta,Bajo,No,Bajo,3,Leves,tested_negative
48206687,104,18,Femenino,8,90.38,2.97,Alta,Medio,Sí,Medio,4,Leves,tested_negative
45926977,105,11,Otro,8,82.62,2.85,Alta,Bajo,Sí,Medio,4,Graves,tested_positive
11524489,106,18,Otro,17,85.72,3.97,Alta,Medio,No,Alto,1,Leves,tested_negative
15079242,107,13,Otro,4,60.44,2.61,Media,Medio,Sí,Alto,5,Graves,tested_positive
75785630,108,11,Masculino,5,81.58,3.0,Alta,Alto,Sí,Bajo,2,Graves,tested_negative
67154333,109,17,Femenino,16,84.06,2.78,Alta,Medio,No,Medio,4,Leves,tested_negative
39191695,110,15,Otro,10,95.69,3.79,Baja,Medio,No,Medio,2,Ninguno,tested_negative
81355093,111,17,Femenino,7,89.31,2.92,Media,Bajo,No,Medio,3,Ninguno,tested_negative
21049120,112,14,Masculino,9,80.09,2.48,Baja,Bajo,No,Medio,3,Graves,tested_negative
96769971,113,14,Masculino,6,100.0,3.2,Baja,Bajo,Sí,Bajo,3,Graves,tested_positive
86323934,114,18,Masculino,8,74.21,2.98,Alta,Alto,No,Alto,4,Leves,tested_negative
64902784,115,17,Otro,10,79.13,2.52,Alta,Bajo,Sí,Alto,4,Leves,tested_negative
88986676,116,12,Otro,11,76.01,3.3,Baja,Bajo,No,Alto,2,Ninguno,tested_negative
48109734,117,17,Femenino,9,86.42,2.04,Baja,Bajo,Sí,Bajo,5,Ninguno,tested_positive
65558588,118,12,Femenino,19,83.69,3.21,Alta,Alto,No,Medio,3,Leves,tested_negative
25798571,119,14,Masculino,7,90.72,4.36,Baja,Alto,Sí,Alto,2,Leves,tested_negative
15857787,120,15,Otro,15,80.38,3.36,Baja,Medio,No,Alto,3,Leves,tested_negative
42546149,121,18,Otro,2,89.93,4.07,Alta,Bajo,Sí,Alto,1,Ninguno,tested_negative
31708866,122,17,Otro,22,87.91,3.89,Baja,Medio,Sí,Medio,2,Graves,tested_negative
84546348,123,15,Femenino,7,79.89,3.63,Media,Alto,No,Alto,5,Graves,tested_negative
81105291,124,13,Femenino,19,92.01,3.22,Media,Alto,No,Medio,5,Leves,tested_negative
92881328,125,11,Otro,12,87.95,3.53,Alta,Alto,Sí,Alto,5,Ninguno,tested_negative
52869729,126,15,Femenino,4,86.76,2.67,Media,Alto,Sí,Medio,5,Leves,tested_negative
25625617,127,14,Masculino,16,82.72,3.88,Media,Medio,No,Bajo,5,Graves,tested_negative
98932102,128,16,Masculino,10,95.44,3.64,Media,Medio,Sí,Medio,1,Leves,tested_negative
62067865,129,10,Femenino,8,80.96,3.41,Baja,Bajo,No,Bajo,4,Ninguno,tested_negative
10341022,130,10,Masculino,10,94.06,3.55,Media,Bajo,Sí,Alto,4,Leves,tested_negative
52336707,131,12,Masculino,15,82.86,2.8,Baja,Medio,Sí,Alto,3,Leves,tested_positive
82517245,132,14,Otro,9,92.37,3.52,Baja,Bajo,Sí,Medio,1,Ninguno,tested_negative
43167100,133,18,Otro,11,93.59,3.22,Baja,Medio,No,Alto,3,Leves,tested_negative
35501882,134,18,Femenino,21,78.52,3.4,Baja,Medio,Sí,Bajo,1,Graves,tested_negative
54014981,135,16,Otro,13,77.46,2.95,Baja,Alto,No,Bajo,4,Ninguno,tested_negative
99070385,136,17,Femenino,15,77.66,3.7,Media,Alto,No,Alto,1,Leves,tested_negative
70469282,137,13,Femenino,4,73.75,2.25,Baja,Alto,Sí,Medio,3,Graves,tested_positive
29094352,138,16,Otro,3,88.74,3.16,Alta,Bajo,Sí,Alto,2,Graves,tested_negative
47433795,139,17,Otro,10,77.95,2.99,Baja,Bajo,Sí,Alto,1,Leves,tested_negative
98784630,140,16,Masculino,12,79.98,3.26,Media,Alto,Sí,Alto,3,Leves,tested_negative
59811151,141,13,Femenino,3,93.05,3.81,Media,Bajo,Sí,Medio,1,Ninguno,tested_negative
22234470,142,12,Otro,8,71.98,3.32,Alta,Bajo,Sí,Alto,3,Ninguno,tested_negative
12902845,143,15,Femenino,18,89.68,3.44,Media,Medio,Sí,Medio,2,Graves,tested_negative
47753918,144,12,Otro,6,89.2,4.09,Baja,Alto,Sí,Medio,2,Ninguno,tested_negative
34921371,145,10,Otro,14,79.4,3.47,Baja,Medio,Sí,Bajo,3,Graves,tested_negative
61519533,146,17,Femenino,8,93.63,3.22,Alta,Alto,Sí,Bajo,1,Ninguno,tested_negative
53799510,147,17,Femenino,13,72.1,2.67,Baja,Alto,No,Alto,1,Ninguno,tested_negative
15850442,148,10,Masculino,18,98.03,2.42,Alta,Bajo,No,Bajo,5,Graves,tested_negative
11313649,149,14,Femenino,10,83.6,3.18,Baja,Alto,Sí,Bajo,1,Graves,tested_negative
71191338,150,18,Femenino,11,77.5,2.47,Media,Alto,No,Alto,3,Ninguno,tested_negative
59709953,151,16,Masculino,4,83.52,3.48,Alta,Bajo,No,Medio,2,Graves,tested_negative
22129454,152,14,Otro,9,89.33,3.0,Alta,Bajo,Sí,Alto,5,Graves,tested_negative
40835970,153,18,Otro,8,71.44,2.59,Baja,Medio,Sí,Medio,3,Leves,tested_negative
36708504,154,12,Femenino,11,84.57,4.1,Media,Medio,Sí,Medio,1,Leves,tested_negative
66603995,155,10,Femenino,10,81.92,2.46,Baja,Bajo,No,Alto,5,Graves,tested_positive
97303569,156,16,Otro,5,76.96,3.82,Alta,Alto,Sí,Medio,3,Graves,tested_negative
15972497,157,12,Masculino,1,83.45,2.96,Baja,Bajo,No,Alto,2,Leves,tested_negative
64450958,158,10,Femenino,20,90.37,3.35,Baja,Alto,No,Bajo,1,Ninguno,tested_negative
57214170,159,18,Otro,7,98.79,4.04,Media,Alto,Sí,Medio,4,Ninguno,tested_negative
69320017,160,11,Femenino,22,86.38,3.0,Media,Medio,Sí,Medio,2,Ninguno,tested_negative
83373901,161,11,Femenino,10,100.0,3.61,Baja,Medio,Sí,Medio,3,Ninguno,tested_negative
88424319,162,11,Masculino,16,85.27,4.19,Alta,Medio,Sí,Bajo,2,Graves,tested_negative
23135700,163,18,Femenino,12,61.64,2.83,Alta,Medio,Sí,Medio,1,Leves,tested_positive
61178522,164,17,Femenino,10,91.94,3.82,Media,Bajo,Sí,Alto,2,Graves,tested_negative
54633630,165,18,Femenino,14,83.62,3.25,Alta,Medio,No,Alto,5,Ninguno,tested_negative
11384471,166,17,Otro,11,78.77,3.0,Alta,Alto,Sí,Medio,1,Graves,tested_negative
83587472,167,11,Otro,22,82.07,3.5,Baja,Alto,Sí,Medio,1,Leves,tested_negative
19417104,168,12,Femenino,11,56.61,2.7,Alta,Medio,No,Bajo,4,Leves,tested_positive
67911856,169,14,Masculino,5,80.26,3.14,Alta,Medio,No,Medio,1,Leves,tested_negative
91487883,170,10,Otro,11,72.68,2.91,Alta,Alto,Sí,Medio,3,Leves,tested_negative
38250162,171,16,Otro,5,78.48,3.2,Media,Medio,Sí,Bajo,5,Graves,tested_negative
28551076,172,11,Femenino,5,86.12,3.52,Media,Alto,No,Bajo,2,Leves,tested_negative
65415874,173,15,Femenino,5,89.08,2.52,Media,Medio,No,Medio,5,Graves,tested_negative
52643120,174,15,Masculino,21,83.66,3.65,Baja,Bajo,No,Alto,5,Leves,tested_negative
52222930,175,13,Femenino,8,91.46,3.91,Media,Bajo,No,Medio,2,Graves,tested_negative
49492796,176,11,Femenino,13,90.7,3.36,Alta,Alto,Sí,Alto,2,Graves,tested_negative
28972979,177,11,Femenino,15,81.82,3.38,Baja,Alto,Sí,Alto,2,Graves,tested_negative
24286146,178,15,Otro,25,91.72,4.38,Baja,Alto,Sí,Alto,5,Ninguno,tested_negative
27887651,179,18,Otro,12,81.72,2.89,Media,Bajo,Sí,Medio,5,Graves,tested_positive
79592539,180,12,Masculino,6,90.56,3.01,Baja,Bajo,Sí,Alto,1,Leves,tested_negative
98775715,181,17,Masculino,4,82.7,2.69,Media,Bajo,No,Bajo,2,Leves,tested_negative
66538420,182,16,Masculino,3,99.68,4.32,Baja,Bajo,No,Alto,4,Leves,tested_negative
78137302,183,16,Otro,3,92.27,3.49,Media,Alto,Sí,Alto,2,Leves,tested_negative
51956056,184,10,Masculino,22,95.5,4.02,Alta,Alto,No,Alto,5,Graves,tested_negative
25936059,185,17,Femenino,6,88.24,3.12,Baja,Alto,Sí,Medio,5,Leves,tested_negative
46461664,186,12,Femenino,18,71.38,3.02,Alta,Medio,Sí,Medio,2,Leves,tested_negative
11675467,187,10,Femenino,12,80.81,3.44,Baja,Medio,No,Alto,2,Ninguno,tested_negative
25979630,188,17,Otro,18,73.22,3.03,Baja,Bajo,No,Bajo,2,Leves,tested_negative
81631451,189,11,Otro,15,100.0,3.81,Alta,Medio,Sí,Medio,2,Graves,tested_negative
48271126,190,13,Masculino,21,90.95,2.32,Alta,Medio,No,Alto,4,Ninguno,tested_negative
57276170,191,11,Otro,6,87.64,3.57,Baja,Alto,Sí,Alto,2,Ninguno,tested_negative
14146730,192,13,Femenino,6,97.55,3.59,Media,Bajo,No,Alto,5,Graves,tested_negative
24671990,193,13,Otro,26,86.4,3.56,Baja,Medio,No,Bajo,1,Leves,tested_negative
28165636,194,14,Femenino,1,95.31,3.54,Media,Bajo,Sí,Bajo,3,Leves,tested_negative
99421499,195,12,Otro,8,100.0,3.36,Baja,Bajo,No,Medio,3,Graves,tested_negative
36070721,196,17,Otro,6,78.55,3.43,Baja,Medio,No,Bajo,5,Graves,tested_negative
41616595,197,18,Otro,20,90.04,3.9,Baja,Bajo,Sí,Medio,5,Graves,tested_negative
50686682,198,10,Femenino,21,90.67,3.88,Media,Medio,No,Bajo,5,Ninguno,tested_negative
19580013,199,11,Femenino,22,100.0,4.63,Alta,Bajo,Sí,Bajo,5,Ninguno,tested_negative
10998671,200,14,Masculino,10,94.2,3.25,Alta,Alto,No,Medio,3,Leves,tested_negative
67093582,201,17,Otro,18,81.8,3.98,Alta,Bajo,Sí,Bajo,2,Ninguno,tested_negative
64923418,202,10,Femenino,19,76.12,3.48,Baja,Bajo,No,Alto,3,Ninguno,tested_negative
65079186,203,16,Otro,8,90.24,3.8,Baja,Bajo,No,Alto,4,Ninguno,tested_negative
60186832,204,12,Femenino,21,82.97,3.31,Media,Alto,No,Medio,2,Graves,tested_negative
93716837,205,12,Masculino,21,98.53,4.27,Media,Medio,Sí,Bajo,5,Graves,tested_negative
21760948,206,16,Otro,10,81.93,2.69,Alta,Medio,Sí,Medio,3,Graves,tested_negative
89405228,207,10,Otro,23,100.0,3.76,Media,Alto,Sí,Bajo,2,Graves,tested_negative
87153401,208,14,Otro,23,89.96,4.02,Baja,Medio,Sí,Alto,3,Graves,tested_negative
98146719,209,18,Femenino,10,78.18,3.03,Media,Bajo,No,Medio,4,Leves,tested_negative
52951318,210,17,Masculino,9,88.34,3.18,Baja,Alto,No,Bajo,5,Graves,tested_negative
61608432,211,16,Otro,5,97.69,3.19,Alta,Alto,Sí,Medio,1,Ninguno,tested_negative
56186988,212,16,Otro,23,79.97,2.98,Media,Medio,No,Alto,2,Leves,tested_negative
30966886,213,14,Femenino,18,71.54,3.37,Baja,Bajo,No,Bajo,5,Graves,tested_negative
15982856,214,12,Masculino,5,80.58,3.07,Media,Alto,No,Medio,2,Ninguno,tested_negative
84007176,215,11,Femenino,16,90.19,3.05,Alta,Alto,No,Medio,5,Leves,tested_negative
80666778,216,17,Otro,14,73.3,2.54,Baja,Bajo,Sí,Medio,1,Leves,tested_positive
29721712,217,11,Femenino,8,91.58,3.36,Baja,Medio,Sí,Bajo,4,Graves,tested_negative
65834823,218,18,Masculino,14,96.17,3.47,Alta,Medio,No,Bajo,1,Graves,tested_negative
89946198,219,16,Otro,10,75.42,2.91,Alta,Bajo,No,Bajo,1,Leves,tested_negative
74096266,220,18,Femenino,32,100.0,4.84,Alta,Alto,No,Bajo,5,Leves,tested_negative
12691406,221,13,Femenino,15,72.94,3.4,Baja,Alto,No,Medio,1,Leves,tested_negative
65764002,222,18,Femenino,12,69.33,3.42,Baja,Medio,Sí,Medio,2,Graves,tested_negative
52486696,223,10,Otro,1,80.33,3.25,Media,Alto,Sí,Bajo,4,Leves,tested_negative
25638149,224,13,Otro,6,97.52,3.68,Baja,Alto,No,Bajo,5,Graves,tested_negative
45368606,225,12,Femenino,25,89.7,3.44,Alta,Bajo,Sí,Alto,5,Leves,tested_negative
40461885,226,11,Masculino,20,76.21,2.97,Media,Medio,Sí,Alto,5,Leves,tested_negative
43424494,227,14,Masculino,16,99.27,3.65,Alta,Bajo,No,Alto,2,Graves,tested_negative
67244369,228,15,Masculino,19,71.62,3.31,Media,Bajo,Sí,Bajo,2,Leves,tested_negative
89519352,229,12,Masculino,4,81.41,3.54,Alta,Medio,Sí,Bajo,1,Ninguno,tested_negative
89410500,230,13,Otro,17,80.08,3.7,Alta,Medio,No,Medio,4,Leves,tested_negative
84073135,231,15,Masculino,16,66.18,3.1,Media,Medio,No,Bajo,5,Ninguno,tested_negative
70213357,232,10,Masculino,4,94.57,3.31,Baja,Bajo,No,Medio,3,Ninguno,tested_negative
65929180,233,16,Otro,10,81.72,2.9,Baja,Alto,Sí,Alto,4,Graves,tested_positive
58482030,234,13,Otro,7,100.0,3.36,Media,Medio,No,Medio,1,Graves,tested_negative
89273666,235,14,Otro,10,69.98,2.81,Alta,Alto,Sí,Medio,1,Graves,tested_negative
53930975,236,18,Femenino,12,75.61,3.27,Baja,Bajo,No,Bajo,4,Ninguno,tested_negative
14726552,237,17,Femenino,22,74.2,3.83,Media,Alto,Sí,Alto,1,Ninguno,tested_negative
73611722,238,16,Otro,7,87.16,2.9,Alta,Alto,Sí,Medio,3,Leves,tested_negative
98291540,239,17,Femenino,2,75.27,2.58,Alta,Medio,Sí,Alto,1,Ninguno,tested_negative
81407521,240,14,Femenino,1,99.44,3.66,Media,Bajo,No,Bajo,5,Ninguno,tested_negative
97181122,241,15,Femenino,15,100.0,3.57,Alta,Alto,No,Alto,2,Ninguno,tested_negative
38963651,242,12,Masculino,5,85.17,3.11,Baja,Medio,No,Medio,4,Ninguno,tested_negative
50515201,243,10,Masculino,8,86.56,3.37,Alta,Alto,Sí,Bajo,3,Graves,tested_negative
74523089,244,16,Otro,16,80.91,2.98,Media,Medio,No,Bajo,2,Leves,tested_negative
67423404,245,12,Femenino,14,96.21,2.84,Media,Medio,No,Medio,2,Leves,tested_negative
68063772,246,18,Otro,21,100.0,4.05,Baja,Bajo,Sí,Bajo,5,Graves,tested_negative
67077238,247,16,Femenino,23,94.88,3.85,Baja,Medio,No,Alto,5,Graves,tested_negative
87432394,248,12,Femenino,29,80.08,3.43,Baja,Medio,Sí,Alto,5,Leves,tested_negative
95964674,249,16,Masculino,11,86.22,2.95,Baja,Bajo,Sí,Bajo,3,Graves,tested_positive
49331588,250,17,Otro,13,87.2,3.58,Baja,Medio,Sí,Alto,5,Graves,tested_negative
65126019,251,13,Femenino,12,76.59,4.2,Alta,Bajo,Sí,Bajo,2,Ninguno,tested_negative
73237890,252,17,Femenino,7,77.24,3.7,Media,Bajo,Sí,Alto,4,Ninguno,tested_negative
98291018,253,12,Masculino,2,97.89,2.94,Media,Medio,No,Medio,2,Ninguno,tested_negative
25013906,254,13,Femenino,25,99.56,4.16,Media,Alto,Sí,Medio,1,Graves,tested_negative
42277088,255,11,Otro,3,71.33,2.6,Baja,Medio,No,Bajo,3,Graves,tested_positive
46060052,256,11,Femenino,13,89.19,3.37,Media,Medio,No,Medio,3,Leves,tested_negative
84711088,257,17,Masculino,2,92.1,2.95,Baja,Alto,No,Alto,3,Graves,tested_positive
58799071,258,10,Otro,3,100.0,3.52,Baja,Alto,Sí,Alto,5,Ninguno,tested_negative
16117922,259,17,Masculino,4,100.0,4.13,Alta,Medio,No,Medio,3,Ninguno,tested_negative
54293345,260,14,Otro,8,74.02,3.25,Baja,Alto,Sí,Alto,3,Ninguno,tested_negative
65378000,261,11,Femenino,24,89.69,4.31,Baja,Medio,No,Alto,2,Leves,tested_negative
26389720,262,14,Otro,8,91.39,2.74,Baja,Bajo,Sí,Bajo,1,Ninguno,tested_positive
15755258,263,13,Masculino,8,94.73,3.08,Alta,Bajo,No,Alto,5,Graves,tested_negative
65221066,264,17,Femenino,16,87.17,3.32,Media,Alto,No,Bajo,1,Leves,tested_negative
